image,probability,pred_class
2017_19784472,0.116914443365047,0
4365720699_1e7dcef901_z,0.507418265317875,1
4353917421_217f6cb150_z,0.118839661967117,0
4383883172_50d3464730_z,0.660797234984904,1
2017_12962038,0.137467620934992,0
4383581409_6a7a832b5f_s,0.490594389842827,0
2017_88309895,0.763685867845508,1
4382010645_49ced95247_z,0.479117213191639,0
4373682823_be1af1f6d1_z,0.778343193968838,1
4341685198_408ec1cbe9_z,0.011410925892985,0
4341163522_7ef54175d3_z,0.152051579614286,0
2017_42303299,0.0638282525311948,0
4382567679_1af3843e6d_z,0.66743660472015,1
4364272584_8643fef41d_z,0.360090599943381,0
4375476339_04fbefb43b_z,0.851177195301736,1
2017_71375785,0.400952448884072,0
4377209844_7f6f080f56_z,0.514609076530076,1
4376699044_b99e118f08_z,0.158723324876999,0
4316049917_21825c3ec5_z,0.704357816591707,1
4328472862_0bac26ef59_z,0.00272664871363575,0
4365751092_4ba020be0e_z,0.285313435971747,0
4380744711_310a7c511d_z,0.950305732060485,1
4367350881_e8865992e3_z,0.0313879951460639,0
2017_97882031,0.359954848804878,0
2017_66714763,0.168738619552159,0
4337979551_5c3eb3ff75_z,0.0919463741542934,0
4367365513_c76edf5607_z,0.456117386017058,0
4343862230_a5fbc13100_z,0.744920280209732,1
4383343547_1eacf721a9_z,0.866513618742233,1
4385316560_9a8d1d183f_z,0.277543700665835,0
4349166440_91e624d3f9_z,0.806052892076299,1
4385477686_f9c728ee3a_z,0.792347607348615,1
2017_96293893,0.16835341241974,0
4382312064_4e9f1f4124_z,0.765465236770057,1
4363830759_075ccf3ccf_z,0.133591757875575,0
4355769706_daa312a84b_z,0.869025813048691,1
4326124382_2707586876_z,0.989327338701974,1
4334901773_604313741f_z,0.918714457375021,1
4373560215_1467fd5d72_z,0.479946978627595,0
4361053888_ec65ca23c9_z,0.211955759661063,0
4350203544_3233c9205b_z,0.218957758324369,0
4322731984_715d82c52a_z,0.351730454736564,0
4370459534_58a2a27258_z,0.231711299107315,0
2017_28116220,0.876571872286893,1
4378738537_5481e446da_z,0.167543107704705,0
4317470535_4f906f1c98_z,0.327783237518132,0
4382822998_102d1672b7_s,0.564393433205087,1
4379871314_620ff99084_z,0.151255027570413,0
4373687211_e88f4e6cc4_z,0.689752460642019,1
4356994832_3f2d7ed02a_z,0.342307198034042,0
4387650470_95941355e8_z,0.503374915326902,1
4361373617_ab2a33e578_z,0.470582751863191,0
4385003552_84ab450808_z,0.481594478502421,0
4347227322_2d105d8909_z,0.671391206909326,1
4375900710_da9cbcfb81_z,0.48117465814043,0
2017_87269852,0.52650722148264,1
4363865227_461b110def_z,0.0102641266575095,0
4373909620_8f150448af_z,0.20489214308881,0
2017_52397554,0.713778762493495,1
2017_60195463,0.0882355226740296,0
4381044221_956d3b8efb_z,0.857417997385591,1
4316837159_63150c05c3_z,0.286149114422301,0
4355337544_036ab951f3_z,0.845381087190087,1
4359531981_191c879253_s,0.97125927189777,1
4380564438_691f784b25_z,0.553114818970952,1
4363653541_ccce63eba8_s,0.831211611200276,1
4355702590_b3208c9485_z,0.615354667047949,1
4330718784_a2d99245ea_z,0.861447098885873,1
2017_83766187,0.443170116811958,0
4315032020_c9aecbcb3d_z,0.802676583348476,1
2017_74393088,0.823909316444428,1
4316945814_b76ed67b33_z,0.387621519470637,0
4368190988_3c558d72c4_z,0.242765173741338,0
4322002812_eae3808fcb_s,0.205198556463156,0
4365242475_5f09ee5a6d_z,0.892788014642149,1
4351909816_3ac9fbe5d7_z,0.091113881783819,0
4370643962_c915fc7632_z,0.340059065469914,0
4407598581_4f8ab65e8c_z,0.0138828435625307,0
4386252632_c0823f96b0_z,0.767527767739752,1
4359081148_c8d5c730c7_z,0.481730069177434,0
4355168588_4b82876424_z,0.262101435270318,0
2017_55345014,0.866403863658694,1
2017_31775080,0.431363130581704,0
4381805638_d5a77a1a09_s,0.548901904879176,1
4379572175_c23e2dbb9e_z,0.324515978804586,0
2017_50555942,0.0829531829956705,0
4373547258_0fab897fa2_z,0.584253185759383,1
4325180997_22ba780613_z,0.0347140119391974,0
4380709070_4f93976db4_z,0.734977637862785,1
4366621477_fe28690e79_z,0.48808716691429,0
4349385168_310962960f_z,0.270207574722669,0
4323353713_af7f9ea527_z,0.82148349234446,1
4369336713_e1e2a9a776_z,0.106625295871097,0
