image,probability,pred_class
2017_19784472,1,1
4365720699_1e7dcef901_z,1,0
4353917421_217f6cb150_z,1,0
4383883172_50d3464730_z,1,0
2017_12962038,1,1
4383581409_6a7a832b5f_s,1,0
2017_88309895,1,1
4382010645_49ced95247_z,1,0
4373682823_be1af1f6d1_z,1,0
4341685198_408ec1cbe9_z,1,0
4341163522_7ef54175d3_z,1,0
2017_42303299,1,1
4382567679_1af3843e6d_z,1,1
4364272584_8643fef41d_z,1,0
4375476339_04fbefb43b_z,1,0
2017_71375785,1,1
4377209844_7f6f080f56_z,1,0
4376699044_b99e118f08_z,1,0
4316049917_21825c3ec5_z,1,0
4328472862_0bac26ef59_z,1,0
4365751092_4ba020be0e_z,1,0
4380744711_310a7c511d_z,1,0
4367350881_e8865992e3_z,1,0
2017_97882031,1,1
2017_66714763,1,1
4337979551_5c3eb3ff75_z,1,0
4367365513_c76edf5607_z,1,0
4343862230_a5fbc13100_z,1,0
4383343547_1eacf721a9_z,1,1
4385316560_9a8d1d183f_z,1,1
4349166440_91e624d3f9_z,1,0
4385477686_f9c728ee3a_z,1,1
2017_96293893,1,1
4382312064_4e9f1f4124_z,1,0
4363830759_075ccf3ccf_z,1,0
4355769706_daa312a84b_z,1,0
4326124382_2707586876_z,1,1
4334901773_604313741f_z,1,0
4373560215_1467fd5d72_z,1,0
4361053888_ec65ca23c9_z,1,0
4350203544_3233c9205b_z,1,0
4322731984_715d82c52a_z,1,0
4370459534_58a2a27258_z,1,0
2017_28116220,1,1
4378738537_5481e446da_z,1,0
4317470535_4f906f1c98_z,1,0
4382822998_102d1672b7_s,1,1
4379871314_620ff99084_z,1,0
4373687211_e88f4e6cc4_z,1,1
4356994832_3f2d7ed02a_z,1,0
4387650470_95941355e8_z,1,1
4361373617_ab2a33e578_z,1,0
4385003552_84ab450808_z,1,1
4347227322_2d105d8909_z,1,0
4375900710_da9cbcfb81_z,1,0
2017_87269852,1,1
4363865227_461b110def_z,1,0
4373909620_8f150448af_z,1,0
2017_52397554,1,1
2017_60195463,1,1
4381044221_956d3b8efb_z,1,0
4316837159_63150c05c3_z,1,1
4355337544_036ab951f3_z,1,1
4359531981_191c879253_s,1,0
4380564438_691f784b25_z,1,0
4363653541_ccce63eba8_s,1,1
4355702590_b3208c9485_z,1,1
4330718784_a2d99245ea_z,1,0
2017_83766187,1,1
4315032020_c9aecbcb3d_z,1,1
2017_74393088,1,1
4316945814_b76ed67b33_z,1,1
4368190988_3c558d72c4_z,1,0
4322002812_eae3808fcb_s,1,0
4365242475_5f09ee5a6d_z,1,0
4351909816_3ac9fbe5d7_z,1,1
4370643962_c915fc7632_z,1,0
4407598581_4f8ab65e8c_z,1,0
4386252632_c0823f96b0_z,1,0
4359081148_c8d5c730c7_z,1,0
4355168588_4b82876424_z,1,0
2017_55345014,1,1
2017_31775080,1,1
4381805638_d5a77a1a09_s,1,0
4379572175_c23e2dbb9e_z,1,0
2017_50555942,1,1
4373547258_0fab897fa2_z,1,0
4325180997_22ba780613_z,1,0
4380709070_4f93976db4_z,1,0
4366621477_fe28690e79_z,1,0
4349385168_310962960f_z,1,0
4323353713_af7f9ea527_z,1,0
4369336713_e1e2a9a776_z,1,0
4379078340_a467275a82_z,1,0
4378157734_e9a4d06795_z,1,0
4353393117_cf7b96578e_z,1,0
4381352937_ee424d18cd_z,1,0
4320328209_4facc6c9ef_z,1,1
4316981315_7101f1d5cb_z,1,0
4380721133_e166ede487_z,1,0
4382012086_38465bc89e_z,1,0
2017_66866413,1,1
4366740796_ee8ef70efc_z,1,0
4375728540_94f0cfe928_z,1,0
2017_57755364,1,1
4359490794_0777bcbd68_z,1,0
4384029814_d808a914ca_z,1,0
4363894244_7322f8b115_z,1,0
4374752679_4eb354933f_z,1,0
4346707578_52b67a23c9_z,1,0
2017_91028932,1,1
4330783152_1cde501a09_s,1,0
2017_62622710,1,1
4363453204_4e04af2ced_z,1,0
4328779216_c0a76b51c6_z,1,0
4359205331_7b10449378_z,1,0
2017_34297647,1,1
2017_34553925,1,1
4363204827_aa93698659_z,1,0
4376132829_de1dec9668_z,1,1
2017_52085043,1,1
2017_65972624,1,1
4347784273_85416fb0c1_z,1,0
4385375572_69a823d95b_z,1,0
4332914169_d99d58d657_z,1,1
4344825090_7a7d1cf6b4_z,1,0
4366902463_ab8cd9ac95_z,1,0
2017_67434582,1,1
2017_35224672,1,1
2017_27323198,1,1
2017_17704629,1,1
2017_53069544,1,1
2017_26139414,1,1
4369991851_673b2bb63d_z,1,0
4315110960_8be05debed_z,1,0
4331634035_078f25654a_z,1,0
4376332056_f984956fd6_z,1,0
4381691967_ab57e9cb5e_z,1,0
4336264708_ffb02af305_z,1,0
4325598805_53bf1c34eb_z,1,1
2017_21833190,1,1
4359403987_41ff9235ab_z,1,0
2017_73774424,1,1
4337482358_526d279438_z,1,0
4316189872_e2160ebcab_z,1,0
4401562173_5c005c58a0_z,1,1
4337519700_bcd0b7f466_z,1,0
4365744246_b57ffaa306_s,1,0
4335828905_8fc5293b70_z,1,0
2017_33756206,1,1
4383285379_c0400f06e1_s,1,0
4356382697_f304550904_z,1,0
4363794623_29a7850de9_s,1,0
4375124942_22f420f661_z,1,0
4380846384_7d83ed7212_z,1,1
4364429549_20d45c8b55_z,1,0
4360315516_55445784e5_z,1,0
2017_66209062,1,1
4355735347_ba519cb75e_z,1,0
4349228571_9402e9b19c_s,1,1
4346634230_ef5005aa95_z,1,0
4350856372_fa6c6b9e8e_z,1,1
2017_70722181,1,1
4378179809_72807fa77d_z,1,0
4328754920_b276fc4831_z,1,0
4377530118_20e6a8b863_z,1,1
2017_89469941,1,1
4374839748_856f2dcac1_z,1,0
4350823762_b282c962ba_z,1,0
4382271913_713f38062e_z,1,0
2017_49063822,1,1
4337967246_1fdd61f82e_z,1,1
4358099818_6d276452a0_z,1,0
4322020944_6e6e7e3f7e_z,1,0
4315793513_3f9bc8778d_z,1,0
4363614340_936eaf3cb4_z,1,0
4382264317_5dc26f3914_z,1,0
4375476567_55d908c7ca_z,1,0
4378190826_eb149028a5_s,1,0
4350957391_ca2990e1a9_z,1,0
4339109150_7c2a8135ee_z,1,0
4376187719_7c4844d068_z,1,1
4378078254_2106ff4359_z,1,0
4375638485_494911fbf6_z,1,0
2017_78980971,1,1
4384480082_b8e55c2f5d_z,1,0
2017_62163083,1,1
2017_43157851,1,1
4382304161_c0cc4c7ca8_z,1,0
4420463215_debf147f65_z,1,0
4377072627_71cfb374b8_z,1,0
4370405581_7f3d6b9d78_z,1,0
4357060870_b7b5e77436_z,1,0
4385985621_a20b30d6e5_z,1,0
4383178998_4c633fedd5_z,1,0
4319720463_1f25be8441_z,1,0
4357387287_295b89044e_z,1,0
4364495213_9b506e3743_z,1,0
4382989828_eb0283699f_z,1,1
4320080826_9aa45e0fbd_z,1,0
4360968122_13ac8615be_z,1,0
4364142979_469445f303_z,1,0
2017_45889282,1,1
4369278819_d2f80cbef4_z,1,0
4379196947_773250f95d_z,1,0
4349342427_4e780639c7_z,1,0
2017_73898473,1,1
4347627773_2eaa4b3f4a_z,1,1
4365885246_00ae5cec7b_z,1,0
4387960149_cb60e915b1_z,1,0
4365815354_1124b45e63_z,1,1
4384006822_c9ba978da2_z,1,0
2017_11743124,1,1
4343479426_96815fbccb_z,1,0
4360314863_f081edf0aa_z,1,0
4382083590_4de38ec42a_z,1,0
2017_67091768,1,1
4385302412_b9071086f0_z,1,0
4382993314_00efd22d11_z,1,0
4382069326_a03eddeba3_z,1,0
2017_97738384,1,1
2017_70136818,1,1
4355948197_b01c8556c4_z,1,0
4384030021_711d44595b_z,1,1
4362297271_9e4734726c_z,1,0
4426827320_14b9507e64_z,1,0
4381976714_666e11004c_z,1,0
4367222969_49e37183da_z,1,0
2017_71222771,1,1
4343889691_ce578ff823_z,1,1
4370370079_4056250340_z,1,0
4363150284_5120e072b0_z,1,0
2017_92616578,1,1
4381332106_ca1247321d_z,1,0
4380397737_9d1f71b4c9_z,1,0
4372182418_e184b1a56c_z,1,0
2017_24059988,1,1
4420679644_107114f1be_z,1,0
4391947185_304e6d8c73_z,1,0
4315537215_fa0eef7730_z,1,0
4381711476_df603d0ed7_z,1,0
4370415490_6359878e26_z,1,0
4318365337_b1e9c9b828_z,1,0
4380134946_9e47a52770_z,1,0
4373178972_768c50fcc7_z,1,0
4372789721_f1143ccf19_z,1,0
4381459894_5ac301b6f5_z,1,1
4351959365_6e372f6dec_z,1,0
4350066248_df29263f25_z,1,1
4378802604_db3d7b8c29_z,1,0
4382150731_f643a239e1_z,1,1
4346985561_7fb95a1059_z,1,0
4358331162_6fc5c4f9ea_z,1,0
4341519344_cf38871be7_s,1,0
4338892273_dc35b38676_z,1,0
4384417092_f235b675ea_z,1,0
4385234948_7c6b6db241_z,1,0
2017_35745732,1,1
4357698640_a1ed8aacca_z,1,0
4360950507_77a3fe945e_z,1,0
4347305729_e1f2bb6b04_z,1,0
4332726570_f8211e8b0a_z,1,0
2017_92002745,1,1
4348501145_0db130dc24_z,1,0
4379964297_4ef62220c1_z,1,0
2017_52240213,1,1
4372630194_1c0a671bf0_z,1,0
4333663808_947af278a0_s,1,1
4354053244_4791a3f94f_z,1,0
4358628793_1a0490c070_z,1,1
4337250695_7eb155923c_z,1,0
4363032968_2f708b9772_z,1,0
4329587392_59bb4a91ff_z,1,0
4378528480_b4ec9ce9be_z,1,0
4343836397_45de31afa6_s,1,0
2017_92653713,1,1
2017_25945100,1,1
4376974199_7bc2b12f36_z,1,0
4323748674_58acddc573_z,1,0
4375032838_b7aca92709_z,1,0
4355803642_732851fec0_z,1,0
4314882240_c3594df8d4_z,1,0
2017_75444820,1,1
4334402803_9c0272b7b2_z,1,0
4380358148_c26de483e9_z,1,1
2017_54025380,1,1
4357784320_78c44c1a65_z,1,0
4317305808_a0dd9f5696_z,1,1
4422156247_13b4f4f901_z,1,0
4330552492_1c4efe73f2_z,1,0
2017_72219204,1,1
4344559473_e463902511_z,1,0
4328976041_2fbb6b580b_z,1,1
4369751925_f279dd713a_z,1,0
4367405811_f260a27c81_z,1,0
2017_24205050,1,1
4330699967_700376605d_z,1,0
4361734695_95b4c0b3dc_s,1,0
4316426134_ab3187f853_z,1,0
4315481060_814aafbb61_z,1,0
4376870182_dd3b5e5e05_z,1,0
4349610468_d8e5cb7131_z,1,0
4368253163_74ab71bd6d_z,1,0
4359961010_ec96a0f4f4_z,1,0
4363405870_489db2794d_z,1,0
2017_67943861,1,1
2017_80990106,1,1
4369843411_316f2c5d1a_z,1,1
4355469009_21144f2ded_z,1,0
2017_12636178,1,1
4364497395_031cab84a1_z,1,0
4375835818_b731300002_z,1,1
2017_60538114,1,1
4383809441_741fea1a93_z,1,1
2017_59164500,1,1
4337214560_e932c6f403_z,1,0
4381155882_21c060326f_z,1,0
4356695765_cd4cbd521b_z,1,0
4356550858_5f8af5548b_z,1,0
2017_79957635,1,1
4382740487_6a74dcc0bf_z,1,0
4425075882_71080e1d27_z,1,0
4345622141_a5efdb350c_z,1,0
4327919990_60cd47c560_z,1,0
2017_16350387,1,1
4368589204_348646186c_z,1,0
4353920098_6226296407_z,1,1
4381335594_764682e41b_z,1,1
4347916704_c5c7ccc649_z,1,0
4377188437_2aca016760_z,1,0
4377748776_b2f227b21d_z,1,0
4350198914_c1c4de80f2_z,1,0
4406178999_901361260b_z,1,0
4368829018_f911b5a6bb_z,1,0
4353157823_7364281a38_z,1,1
4319237624_25d0fc7520_z,1,0
4368302039_f9244db6d3_z,1,0
4383420921_12f335d839_z,1,0
4318538151_2b1f1aa7ae_z,1,0
4341542467_be4dd2c05e_z,1,1
4375050927_ee8277d812_z,1,0
4383878109_1449d5682c_z,1,0
2017_89683008,1,1
4345217385_f7b5cf5fe5_z,1,0
4342545060_3c5895d383_z,1,0
4358139311_d1ed0f31f7_z,1,0
2017_85319340,1,1
4381201485_019ea1c217_z,1,0
4347767200_6d54b4a681_z,1,0
2017_78407345,1,1
2017_36241665,1,1
4350127006_c4a87b0e40_z,1,0
4338699891_12c370aef1_z,1,0
4379104819_af9a27ab9b_z,1,0
4369244039_b75376fe54_z,1,0
4375708240_1683d72edc_z,1,0
4363944878_e9730da620_z,1,0
4329571197_06d4f8e59d_z,1,1
2017_98855235,1,1
4320640388_30e4d217e2_z,1,0
4381863146_8d30c621f9_z,1,0
4404182125_eb136570cd_z,1,0
4382016294_34a1abaa64_s,1,0
4317785464_69ec45ec83_z,1,0
4370859340_774328d205_z,1,0
4384038858_90d5db0b50_z,1,0
4373958931_d6190f52eb_z,1,0
4383442473_8f4d6f3ff9_z,1,0
2017_80057905,1,1
4379102613_bde5934c55_z,1,0
4380505423_3bae4ded2c_z,1,0
4379332398_215e182af4_z,1,0
4382733284_e0f936967d_z,1,0
2017_62797934,1,1
2017_13116586,1,1
4372661019_2cb8839410_s,1,0
4368150483_b0020bc129_z,1,0
4319562768_7d8c9bbcd8_z,1,0
2017_81027920,1,1
4376563773_1617e8581a_z,1,0
4356559175_11a690a94c_z,1,0
4325396947_78b14f3bbe_z,1,0
4339466445_709a52eb50_z,1,0
2017_96140855,1,1
4357367574_4c02ea0b06_z,1,0
4379876690_e879bd7ea8_z,1,0
4378017229_8eaff87be6_z,1,1
4337161543_20d60fe561_z,1,1
4315134653_985befa899_z,1,1
4326345456_928af592f1_z,1,1
4333556819_e4acc4f9b1_z,1,0
4384191285_7dbf6aa97f_z,1,0
4375992377_d05c09543e_z,1,0
4370238462_3ef9d6d488_z,1,0
4375206640_4bc394886b_z,1,0
4416200633_80f7033c0d_z,1,0
4364498855_ace4eff5a6_z,1,0
4351051215_d03dd49795_z,1,1
4356162434_53cf38dd69_z,1,0
4379651292_3d773b15e7_z,1,0
4383985751_9d715b9f6e_z,1,0
4337836636_a21e0ac24e_z,1,0
4364165014_579ace93c8_z,1,0
4359961577_cd336bd26e_z,1,0
4372906812_2cb0fde51c_z,1,1
4378370669_4fc74bbbdb_z,1,0
4314571271_85d73891a5_z,1,0
4376097321_99b9bdbe80_z,1,0
2017_32976912,1,1
4360052402_d970399f2e_z,1,0
4381303352_16ebe884d3_z,1,0
4395865519_a00151049f_z,1,1
4333124330_0636ab8a42_z,1,0
4358096930_777fbb3137_z,1,0
4376054840_449df5cff8_z,1,1
4377830476_84360d47b3_z,1,0
4334333177_1259051dae_z,1,0
4376157832_2ce8f68895_z,1,1
4380141451_944ab97600_z,1,0
4355105761_8f1171692d_z,1,1
4354839401_485ea40b17_z,1,0
4371855015_c64af9e501_z,1,0
4372529044_f4da45950b_z,1,0
2017_56124486,1,1
4414427793_7e11ebf11e_z,1,0
4373556126_0e3860e4a5_z,1,0
4420075484_eda7cd2dbf_z,1,0
4354356884_53e72316ca_z,1,0
4345913746_3c8d296d38_s,1,0
4364799983_7dc63ca7d4_z,1,0
4367212929_550d83065b_z,1,1
4352857792_3162e775a8_z,1,0
2017_14187578,1,1
4350201022_518e78387b_s,1,0
4363070928_c6e1021576_z,1,0
4381101838_4ff2800299_z,1,0
4371810824_dac9d20fc3_z,1,1
2017_92158097,1,1
4370107856_4f89b8dba0_z,1,0
4353868152_0cd2c15be8_z,1,0
4380095595_862c81c229_z,1,1
2017_68828075,1,1
4385987185_2ab46f69d2_z,1,0
4380542542_0e130774c1_z,1,1
4383983725_8377832304_z,1,0
4374876122_e5a09a4afa_z,1,0
4313781242_07263b7949_z,1,0
4379677769_c0d98f059a_z,1,1
4349199064_836530e241_z,1,1
4349967460_5525753536_z,1,0
4382297725_11e41cee11_s,1,0
4377688000_ba5f6f08f5_z,1,0
4373568643_162ee1a734_z,1,0
4380814040_3840b74f8c_z,1,0
4368876436_3209f8987c_z,1,0
4380865365_67a518a26e_z,1,0
4342608032_7bc8acf442_z,1,0
4401284683_0e22f3a42d_z,1,0
4358863009_b8cac8bc17_z,1,0
2017_17612352,1,1
4383025536_03fdd1b25d_z,1,0
4376102671_11bbba146c_z,1,1
2017_39097918,1,1
4348449333_e8474ee93c_s,1,0
4346752024_c348c2faa2_z,1,0
4316852738_364ddbcc20_z,1,0
4379133583_f3de989bed_z,1,0
2017_66472893,1,1
4333150828_52c9577611_z,1,1
4383512176_24ecbdecff_z,1,1
4378948695_88aa8d4dd0_z,1,0
4331834583_ae4b7c7447_z,1,0
4380242010_163e2b752a_z,1,0
2017_72894411,1,1
4364499701_2d567776b6_z,1,0
4327997985_e7dd4ceb2d_z,1,0
4371062019_8bfb07a29b_z,1,0
4354215839_9feec4a12f_z,1,0
4364664727_4394198254_z,1,0
4334769082_6827b8eb24_z,1,0
4379273989_9ca59a77d1_z,1,0
4382264116_a3453102b4_z,1,0
4360006080_44c936fff2_z,1,0
2017_58080541,1,1
4319970919_473ee177c8_z,1,0
4363795710_e78f0f3e7e_z,1,0
4380883025_2a3d5056a6_z,1,1
2017_79080317,1,1
4375761451_d001a87f2e_z,1,0
4366820932_0fc4058f21_z,1,0
2017_78179362,1,1
4343889243_2454ae2d68_z,1,0
4381575391_3d2396a897_z,1,0
4325014410_691e0e2423_z,1,0
4313823706_c5d7ed1a07_z,1,0
4366639799_db9b5724ae_z,1,0
4382477333_e0d9da3d12_z,1,0
4380720004_0ef8e6e24a_z,1,0
4380093673_239dfe04ec_z,1,0
4364593318_bf0ec5d7e6_z,1,0
4315797972_2eea654b34_z,1,1
4399680335_5f50556532_z,1,0
2017_56441431,1,1
4410538072_237ea1c0d0_z,1,1
2017_80010956,1,1
2017_64156440,1,1
4376387367_f4f5906329_z,1,0
4367348776_d30bb87dc0_z,1,0
4381885988_ce958632c7_z,1,0
4371944180_fa803a89f2_z,1,0
2017_67923568,1,1
4352606942_bc12b10d82_z,1,0
4344065749_bd81af924e_z,1,1
4376081617_c87919a333_z,1,0
4377127285_b6819cd44c_z,1,0
4371023274_61809c56a6_z,1,1
4335083714_2d784fcd95_z,1,0
4383775970_6c512217c0_z,1,0
2017_86994808,1,1
4337460771_f471585a30_z,1,0
4361778354_a6d24703cd_z,1,1
4335790541_66ea63e012_z,1,0
4329911357_b60fc4182d_z,1,0
4356584905_4eb4ce1789_s,1,0
2017_99393020,1,1
4366597805_e7a1ef9165_z,1,0
4352786091_7e3eaaa727_z,1,0
4338814849_fd39276807_z,1,0
4361540849_2a9d009353_z,1,1
4376889588_45e9dcc7b0_z,1,0
4364327875_bb8ba89da7_z,1,1
4314381643_02039a3d30_s,1,0
4350762195_be7eec8d98_z,1,0
2017_32441227,1,1
2017_35946697,1,1
4381274964_c2a45e16e7_z,1,0
4361076874_6b2d848444_z,1,1
4324263961_a82e427555_z,1,0
4381998514_483b13e6b5_s,1,0
4376321904_2040b7a627_z,1,0
4375892790_a0b97da4f2_z,1,0
4345972224_226865589a_z,1,0
2017_94014890,1,1
4361818692_31908fe458_z,1,0
4353903810_f2f21913c5_z,1,1
4384886355_5b97d540bb_z,1,0
4363303016_58ccb6a27b_z,1,0
4383475307_79251b9342_z,1,0
4328746440_8f98c456b5_s,1,0
4366816521_6f4cd2658d_z,1,0
4379704031_a9d95797aa_z,1,0
2017_95850094,1,1
4397635765_f3d1921ddf_z,1,1
4336887630_85cf631989_z,1,0
4349147917_66f4ff5cd0_z,1,0
4331222814_7aa620abca_z,1,0
4361893079_1ea8b18941_z,1,0
2017_68493863,1,1
4379585367_6fe028644f_z,1,0
2017_65594271,1,1
4384010388_7d57e2debd_z,1,0
4350552325_ef17f356b4_z,1,0
2017_40779218,1,1
4375495454_36e15d9d11_z,1,0
4379504450_f35942cc58_z,1,0
4350588815_c8b0c5d111_z,1,0
4376594558_53df437fc2_z,1,0
4376114066_f701346f52_z,1,0
2017_33904537,1,1
4382682564_062f6b3f25_z,1,1
4335058891_2f60ec0f22_z,1,0
4345624032_de21bbaf17_z,1,1
2017_32542777,1,1
4375800890_06b87edf58_z,1,0
4356614111_6702c36869_z,1,0
4356714934_bfcb54425c_z,1,0
4361408659_b9ff5c0e35_z,1,0
4322700568_8d0dd1f0ef_z,1,0
2017_10869512,1,1
2017_83815849,1,1
4369019172_51bdd38a7b_z,1,0
2017_54649297,1,1
2017_72829723,1,1
4357314927_db14ca9e51_z,1,0
4381978124_c041ea268d_z,1,0
4380769116_0afa98cea0_z,1,0
4381339718_49f52faee9_z,1,0
4383358267_abd5313501_z,1,0
4330340664_ce34ab124a_z,1,0
4363947055_22275db542_z,1,1
4368451799_042e479973_z,1,0
4320216719_d3fa09d20c_z,1,0
4386360176_2a35e1e84b_z,1,0
4386410900_0ccaafc709_z,1,0
4376970366_236e1255b1_z,1,0
4345885485_9058a9deae_z,1,0
2017_11444919,1,1
4367002281_aaca69dde2_z,1,0
4376139841_b07bc67819_z,1,0
4380450736_c3e7bfc6c9_z,1,0
4325265505_32326f5a9e_z,1,0
4349936820_6f7f6c0992_z,1,0
4323785836_23c816ed33_s,1,1
4335387031_49358ed2a5_s,1,0
4339659609_cbb11ea633_z,1,0
4376452177_28794ec1ff_z,1,1
4406358369_9461f496c3_z,1,0
4348249939_90cef42a1c_s,1,0
4382764459_9f70ed3ae1_z,1,0
4318412735_aa52bb366e_s,1,0
4315180802_daf1ee6685_z,1,0
2017_19010723,1,1
4351685266_4b8b662229_z,1,0
4374453143_0acf379778_z,1,1
4378613011_ce3a20157a_z,1,0
4333784680_fe77c08ba6_z,1,0
4329066647_31a2ffd202_z,1,0
4380130049_2b7d52bda0_z,1,1
4377696245_4e34932e5f_s,1,0
4379270255_314e7a1287_z,1,0
2017_51766240,1,1
4376303892_650d193207_z,1,0
4361293488_8a7bcb6167_z,1,0
2017_38137915,1,1
4380687469_1eec934256_z,1,0
2017_16280644,1,1
4325194167_efb4a1a484_z,1,0
4420064791_6808fac0ea_z,1,0
4382220371_37d42487d6_z,1,1
4321054550_aa1cb16859_z,1,0
4378159352_82fee947d8_z,1,0
4326871780_e5cb82bf08_z,1,0
4330490144_ec70e45bb6_z,1,0
4380663473_224834c0df_z,1,1
4360759579_4a27791a4e_z,1,0
4422263538_57cf6e45d2_z,1,0
2017_83850412,1,1
2017_32502590,1,1
4371965779_d05273eb01_z,1,0
4376328462_e3be63c546_z,1,0
4316878148_a36a0783f9_z,1,0
4377693614_1b21ca604e_z,1,0
4368502795_7ac89b981a_z,1,0
4380917547_45738a2ac3_z,1,0
4458483047_be5f5bf4ab_z,1,0
4319961340_dbd8acaafb_z,1,0
4416011532_90aebd27ab_z,1,0
4315156203_d80052f82b_z,1,0
4376613005_ce6df86976_z,1,0
4366092690_03a4015540_z,1,0
4373293877_50442043f5_z,1,1
4338881928_00de2cc380_z,1,0
