image,probability,pred_class
49910698552,1,1
50783798341,1,1
51223478856,1,1
51161663162,1,1
50733625473,1,1
50573886706,1,1
50521056903,1,1
51196043596,1,1
51133608260,1,1
51133529305,1,1
49955318153,1,1
50984436148,1,1
51201912684,1,1
51128336702,1,1
49923809662,1,1
50299647862,1,1
51224157734,1,1
50610855377,1,1
50164070606,1,1
49648240853,1,1
51210062722,1,1
49430567178,1,1
49798245326,1,1
50851538497,1,1
51120328303,1,1
49341162761,1,1
49214967293,1,1
33448650318,1,1
30802698637,1,1
29528534468,1,1
25961474253,1,1
25562008314,1,1
23966418883,1,1
24190598186,1,1
22021307622,1,1
38283512786,1,1
9218130766,1,1
45992103375,1,1
23894257296,1,1
8269334865,1,1
38899184321,1,1
20464074918,1,1
17492506510,1,1
37537437041,1,1
50194123197,1,1
28845540067,1,1
32191849847,1,1
15439418125,1,1
34602825352,1,1
29751047466,1,1
44248736484,1,1
29745217967,1,1
46944595855,1,1
7475071002,1,1
50160274447,1,1
49268665297,1,1
36923744225,1,1
43251065325,1,1
29123447106,1,1
40107407601,1,1
19503163115,1,1
21508999504,1,1
48592229036,1,1
49661232688,1,1
50052720913,1,1
49836956627,1,1
34974262706,1,1
10752868816,1,1
8247986785,1,1
26791196013,1,1
25331922363,1,1
30629127007,1,1
34352654813,1,1
39608400995,1,1
24225702916,1,1
32827393421,1,1
27437693611,1,1
11627173554,1,1
17114177865,1,1
12911119514,1,1
32844881497,1,1
49751405248,1,1
50672544712,1,1
50100649381,1,1
51185358786,1,1
51174202273,1,1
50465373541,1,1
50149963677,1,1
8212215725,1,1
49403517783,1,1
25101819838,1,1
34269143091,1,1
30559845231,1,1
26571153441,1,1
49242511428,1,1
39889245864,1,1
48890413243,1,1
47350614841,1,1
8977309966,1,1
19010940268,1,1
50051670278,1,1
50088331968,1,1
49920064513,1,1
51189390554,1,1
50753053316,1,1
50097152328,1,1
49391933992,1,1
48099975146,1,1
51119687728,1,1
29101819036,1,1
20733622158,1,1
6392313101,1,1
28566592136,1,1
42114431750,1,1
16952284208,1,1
24722730327,1,1
33965855864,1,1
32734889930,1,1
37707189196,1,1
41849915745,1,1
50246033386,1,1
29200655307,1,1
36073568152,1,1
16901766977,1,1
30486127297,1,1
39026197542,1,1
36910556956,1,1
30041889782,1,1
17238615331,1,1
42953252274,1,1
24603850897,1,1
28930543464,1,1
28869517920,1,1
49832722838,1,1
47758677752,1,1
51056658051,1,1
51056688097,1,1
50255854357,1,1
50090955082,1,1
50059927153,1,1
50027961543,1,1
51055989192,1,1
50339050782,1,1
49830999606,1,1
49813533888,1,1
49813984766,1,1
49728345078,1,1
49671445282,1,1
49658353973,1,1
49653284791,1,1
49566278772,1,1
49345200112,1,1
49274169162,1,1
49193654042,1,1
48631169032,1,1
48617098693,1,1
48108476452,1,1
39842588193,1,1
43794084205,1,1
29115570027,1,1
48315973047,1,1
46694607111,1,1
44622431502,1,1
44622431372,1,1
45779353875,1,1
28378977477,1,1
38442254386,1,1
37173937495,1,1
36066927654,1,1
35442281573,1,1
35364054743,1,1
34814251024,1,1
34336351984,1,1
32363158814,1,1
33160121305,1,1
32633227181,1,1
32430978456,1,1
31340442991,1,1
30350819916,1,1
26426462263,1,1
26713192266,1,1
24626448836,1,1
24331672182,1,1
23971924776,1,1
24324091143,1,1
23694154952,1,1
21575347869,1,1
20328265319,1,1
16675779678,1,1
19884786962,1,1
50282376643,1,1
49506253733,1,1
48767537933,1,1
48549124832,1,1
48526511256,1,1
48734979188,1,1
48184597077,1,1
48137298722,1,1
48111973592,1,1
47525221762,1,1
47561471591,1,1
44747627675,1,1
44946393591,1,1
48035887913,1,1
48018515548,1,1
32497235207,1,1
46611085414,1,1
44819677961,1,1
41650155611,1,1
40471247715,1,1
37878975451,1,1
35246419381,1,1
30777760071,1,1
20019492218,1,1
14443483415,1,1
13916860217,1,1
13358227345,1,1
15925308766,1,1
15029828204,1,1
8022650101,1,1
7105776591,1,1
6916250756,1,1
16396824141,1,1
49237683853,1,1
24761500507,1,1
32056343318,1,1
24906543507,1,1
31706107401,1,1
31621155445,1,1
31583723946,1,1
29815403234,1,1
19767106679,1,1
50659442346,1,1
49948377683,1,1
49888446342,1,1
49003348118,1,1
48333091257,1,1
45283182564,1,1
45458710361,1,1
39543330430,1,1
26575129898,1,1
39510746315,1,1
25468272047,1,1
33942027486,1,1
33249332252,1,1
33771684562,1,1
33418414736,1,1
19435745445,1,1
7982681630,1,1
34520642945,1,1
34467093166,1,1
30607811135,1,1
41081655441,1,1
43761170232,1,1
49308558378,1,1
19600733654,1,1
36783208735,1,1
46626001792,1,1
39920063583,1,1
17371865275,1,1
50696977478,1,1
50149583552,1,1
50659759957,1,1
49616242431,1,1
49297742828,1,1
49405493617,1,1
38577855016,1,1
50961088888,1,1
46785287885,1,1
30349419452,1,1
32866207757,1,1
25968794770,1,1
50951337243,1,1
50514999633,1,1
50227362582,1,1
49218561868,1,1
25792649787,1,1
39303163921,1,1
35997993406,1,1
8692549086,1,1
9446047311,1,1
8000347281,1,1
7980165375,1,1
7538578492,1,1
16483546813,1,1
16845108719,1,1
7847213302,1,1
50444604161,1,1
29687223031,1,1
51158834640,1,1
50601563757,1,1
50254110796,1,1
49058480442,1,1
48428248817,1,1
50151270241,1,1
43240706450,1,1
43773699761,1,1
50661692406,1,1
50402216073,1,1
50294817873,1,1
50260990046,1,1
15572718563,1,1
47052296162,1,1
29418736417,1,1
40461580520,1,1
49829057143,1,1
40503072445,1,1
8639854675,1,1
35716767191,1,1
48851107441,1,1
28840094527,1,1
39782686575,1,1
49139278186,1,1
47923450437,1,1
39586444555,1,1
32020802062,1,1
28930861651,1,1
28186269603,1,1
24048140841,1,1
42587746504,1,1
21555648421,1,1
50102766857,1,1
8857223174,1,1
48846095903,1,1
50466443698,1,1
26629701615,1,1
23923051736,1,1
35583956910,1,1
50815776106,1,1
50111142278,1,1
23598516942,1,1
37075409032,1,1
48803958831,1,1
50584904151,1,1
27150371977,1,1
48396512961,1,1
23645806778,1,1
51036685527,1,1
50545666133,1,1
50144366341,1,1
48848788877,1,1
46850166044,1,1
40483809223,1,1
37825818255,1,1
50721386132,1,1
49197496077,1,1
34210884900,1,1
26214460670,1,1
33663919966,1,1
50847573477,1,1
49595861426,1,1
49606840311,1,1
51176545248,1,1
51146486871,1,1
51152299226,1,1
51147790407,1,1
51151626872,1,1
51147790492,1,1
51143360649,1,1
49906998637,1,1
45574485812,1,1
48847539347,1,1
48974907941,1,1
46337895205,1,1
28963004380,1,1
27430584143,1,1
24030318280,1,1
23446115464,1,1
50064295967,1,1
48151184287,1,1
35732876083,1,1
18242593912,1,1
50344515586,1,1
43813277821,1,1
40487114982,1,1
34668977714,1,1
34544244333,1,1
34458101824,1,1
35859206043,1,1
48602956331,1,1
49399926111,1,1
47694967761,1,1
30275087953,1,1
49651684311,1,1
31963409857,1,1
30084706138,1,1
41966966881,1,1
51228070926,1,1
40978042825,1,1
43817373104,1,1
22213626614,1,1
18874228051,1,1
25831548867,1,1
21290291202,1,1
6885974630,1,1
50430763657,1,1
50430590591,1,1
50429895673,1,1
50429891983,1,1
50429895938,1,1
37123353253,1,1
50430588776,1,1
21058823855,1,1
20844341316,1,1
20839685106,1,1
20215683854,1,1
20624723489,1,1
20468061549,1,1
19686563265,1,1
19364371956,1,1
18067995040,1,1
18256970661,1,1
34440990722,1,1
49432677892,1,1
50058609913,1,1
36507119615,1,1
40652676902,1,1
34996429845,1,1
34323322511,1,1
33861112205,1,1
32714831916,1,1
28615919965,1,1
40279846460,1,1
7934060276,1,1
51214190404,1,1
50454368866,1,1
49443586561,1,1
50986310656,1,1
50920954817,1,1
44453625675,1,1
29910824898,1,1
38811954871,1,1
35910010541,1,1
51183403592,1,1
50852573208,1,1
32207617037,1,1
32298505917,1,1
25723006464,1,1
23427342104,1,1
20914215128,1,1
18936316091,1,1
16728180275,1,1
16593124969,1,1
16217490370,1,1
6837524440,1,1
47952844038,1,1
42359317065,1,1
25360170978,1,1
50766720341,1,1
49971142187,1,1
13851885183,1,1
50637157957,1,1
9433801657,1,1
51011687890,1,1
51080176118,1,1
51011687520,1,1
46943099071,1,1
49992980691,1,1
46135587892,1,1
45027178754,1,1
43305600675,1,1
44453910572,1,1
30568968848,1,1
42156357371,1,1
42030838161,1,1
50881479093,1,1
49220440318,1,1
35309943913,1,1
49445057083,1,1
48542767351,1,1
46965075421,1,1
46037148695,1,1
44299077064,1,1
50251633492,1,1
50137647048,1,1
40215587203,1,1
50623103583,1,1
49682534663,1,1
49499558828,1,1
49377504978,1,1
15986511954,1,1
15986510664,1,1
49611726931,1,1
46912637522,1,1
50374784763,1,1
49396378788,1,1
49909161403,1,1
49757533776,1,1
49744734322,1,1
51096772052,1,1
51096755299,1,1
51097045208,1,1
51096387791,1,1
51100828584,1,1
51102882972,1,1
51103273506,1,1
51098132471,1,1
51096412059,1,1
50622981968,1,1
49127707381,1,1
51146867716,1,1
50926832932,1,1
50639903612,1,1
49523727728,1,1
46078097144,1,1
43580551301,1,1
43647785155,1,1
36581334390,1,1
34563540024,1,1
33731555934,1,1
35054879192,1,1
51146192217,1,1
51147978055,1,1
48361909892,1,1
49592942267,1,1
19429896498,1,1
22227191266,1,1
9290224309,1,1
50835975781,1,1
50229253618,1,1
50201577481,1,1
49733962127,1,1
49791342497,1,1
49293218357,1,1
49019047762,1,1
48474116856,1,1
46668449845,1,1
29519343418,1,1
28278046918,1,1
40842663112,1,1
38663081390,1,1
28033440729,1,1
50094952381,1,1
50011741141,1,1
50027226737,1,1
50992357033,1,1
51184856243,1,1
32332417197,1,1
46551040394,1,1
42820595655,1,1
49896679823,1,1
49864836621,1,1
49968749586,1,1
49290499486,1,1
49285327312,1,1
50182212482,1,1
49671431991,1,1
49300955181,1,1
48098289362,1,1
48097107053,1,1
48121436782,1,1
45729952222,1,1
45729880952,1,1
43960667370,1,1
45778444391,1,1
31891332598,1,1
31542057098,1,1
42936832000,1,1
43765604362,1,1
41559151240,1,1
28494082347,1,1
42304122554,1,1
27658380397,1,1
50934803241,1,1
50784645646,1,1
50940520197,1,1
50842933357,1,1
50818226073,1,1
50707857112,1,1
45130129491,1,1
30865336188,1,1
28536117527,1,1
28280866209,1,1
38020322756,1,1
30979912676,1,1
31924459641,1,1
23581315335,1,1
22507182839,1,1
20796943940,1,1
45215197815,1,1
50702099941,1,1
50222496057,1,1
50233658596,1,1
50176995441,1,1
49597020322,1,1
48859293237,1,1
48735555823,1,1
48654755788,1,1
48399183041,1,1
48282261056,1,1
48282119787,1,1
48281625526,1,1
48144317371,1,1
48067209968,1,1
48067261692,1,1
47431700101,1,1
40437352983,1,1
40159326883,1,1
40119146853,1,1
40114207473,1,1
46354841084,1,1
40111519303,1,1
32134414607,1,1
46162419315,1,1
47023242092,1,1
46160311385,1,1
40113476733,1,1
50974111437,1,1
48527171086,1,1
49813183187,1,1
48540490702,1,1
48058452692,1,1
33188405358,1,1
48077765611,1,1
46794057254,1,1
41571014274,1,1
40973775151,1,1
37176619316,1,1
35847141001,1,1
24033526417,1,1
36794253114,1,1
34752569530,1,1
31930326494,1,1
30456997570,1,1
31861733712,1,1
30133227020,1,1
29137193576,1,1
29084215586,1,1
28335124235,1,1
28301284856,1,1
27747132290,1,1
27836028656,1,1
26227401333,1,1
21880824119,1,1
21745867938,1,1
48719744101,1,1
48625477887,1,1
49183472412,1,1
48242806547,1,1
43881108264,1,1
44837293884,1,1
51175942205,1,1
51047945856,1,1
50153632921,1,1
49228399363,1,1
42591614344,1,1
20408484586,1,1
50190047396,1,1
46453823824,1,1
50195828518,1,1
50877781482,1,1
30449486065,1,1
40466391843,1,1
47777720441,1,1
50638732663,1,1
19215964976,1,1
50921208813,1,1
48090146471,1,1
37687480882,1,1
48997428132,1,1
28135734928,1,1
36438333005,1,1
26078880758,1,1
21417816651,1,1
27981075381,1,1
50246071187,1,1
15834371248,1,1
19602895651,1,1
50748617771,1,1
49311006732,1,1
47627906831,1,1
44178784601,1,1
40973092881,1,1
8270500458,1,1
17298169989,1,1
9542209643,1,1
9294103716,1,1
9548368444,1,1
8022495390,1,1
32184319157,1,1
45632681045,1,1
49692351597,1,1
50107871836,1,1
50816561952,1,1
50362418208,1,1
50362417868,1,1
50139366071,1,1
50312456147,1,1
50287815443,1,1
48983097926,1,1
51078200091,1,1
29450369191,1,1
5861694499,1,1
38137145536,1,1
50965963753,1,1
46786822882,1,1
50623107698,1,1
12786947264,1,1
9732079007,1,1
9402026952,1,1
50636051271,1,1
50608055001,1,1
50584526242,1,1
50282343682,1,1
50267358497,1,1
49075863522,1,1
49042305482,1,1
50416918262,1,1
49215067801,1,1
46987438011,1,1
45685465054,1,1
44638311514,1,1
34820388742,1,1
34576285350,1,1
36017393351,1,1
33926471600,1,1
50865048246,1,1
48557243666,1,1
49438821127,1,1
46645807252,1,1
33878327161,1,1
28579043994,1,1
25556467245,1,1
9383004527,1,1
9341797505,1,1
8181992336,1,1
7632919608,1,1
6901500732,1,1
6954822753,1,1
6004264340,1,1
5995906752,1,1
51082902738,1,1
48802540542,1,1
31030723997,1,1
47923891346,1,1
32390488587,1,1
46388130201,1,1
46086269542,1,1
44677618045,1,1
44651047304,1,1
43397934744,1,1
30005570208,1,1
40918680465,1,1
39294466502,1,1
38532317001,1,1
38149408876,1,1
50421170958,1,1
50764167641,1,1
49271472382,1,1
48692740133,1,1
45145795245,1,1
42953000554,1,1
41845248710,1,1
42879925152,1,1
6945510437,1,1
51223811386,1,1
9409366548,1,1
9410426841,1,1
48988831573,1,1
51097219748,1,1
51097142313,1,1
51097305795,1,1
51104327895,1,1
49044102281,1,1
49503125541,1,1
28411779518,1,1
51100899033,1,1
51103278782,1,1
51103510898,1,1
51106183375,1,1
51104528529,1,1
51102791244,1,1
32421482207,1,1
31157173137,1,1
44805485274,1,1
44238824805,1,1
42859835150,1,1
26882550119,1,1
36283875303,1,1
34479077675,1,1
31568734378,1,1
26029407888,1,1
31169488150,1,1
49801312667,1,1
48449073051,1,1
40134767254,1,1
49021716088,1,1
49174409888,1,1
47746759242,1,1
32755936727,1,1
29386478898,1,1
29155209858,1,1
51133649424,1,1
51029248672,1,1
50577517261,1,1
49438127713,1,1
49327020678,1,1
43340533702,1,1
51195281817,1,1
50238925362,1,1
50138510277,1,1
49069968547,1,1
50926836196,1,1
49870918423,1,1
49598205436,1,1
28931218868,1,1
50945124141,1,1
49936776028,1,1
15284840557,1,1
41409147255,1,1
40359418240,1,1
9529470437,1,1
9454163521,1,1
50904722593,1,1
48996728806,1,1
48844556068,1,1
47651294002,1,1
38558294631,1,1
51146787696,1,1
50385979616,1,1
38933477005,1,1
15139547727,1,1
39113187015,1,1
9395187732,1,1
51112385733,1,1
8397761503,1,1
49949153638,1,1
48585667461,1,1
45370938115,1,1
42593737610,1,1
42084503444,1,1
28928490228,1,1
51202076981,1,1
50712485946,1,1
30038913303,1,1
30533953505,1,1
51150059392,1,1
50878627468,1,1
50614688833,1,1
50398598263,1,1
16455930437,1,1
50927515442,1,1
51097516359,1,1
50736520808,1,1
48384139697,1,1
50609722593,1,1
48632384568,1,1
48530786272,1,1
51000182372,1,1
8720668964,1,1
50372234367,1,1
44354420120,1,1
43844582332,1,1
51002312513,1,1
42184539154,1,1
15038743768,1,1
13201676785,1,1
46733059755,1,1
39459260954,1,1
50787069223,1,1
49748902458,1,1
47977829816,1,1
24198723657,1,1
50503510401,1,1
49176843951,1,1
26258675773,1,1
8184035019,1,1
6140682150,1,1
45361209895,1,1
43698219894,1,1
50792161271,1,1
49131702512,1,1
46339966382,1,1
51069059783,1,1
49841401881,1,1
36728161091,1,1
44663910152,1,1
51219582366,1,1
51169994504,1,1
51168521547,1,1
51169923824,1,1
50765344022,1,1
46979663735,1,1
50500080932,1,1
50854739346,1,1
44242507095,1,1
51184090571,1,1
46162175524,1,1
40090131485,1,1
50370497682,1,1
47760679782,1,1
40263227534,1,1
40932889702,1,1
40926423662,1,1
5948745797,1,1
47969566208,1,1
50720138641,1,1
50598149643,1,1
27124246009,1,1
24113767236,1,1
16510393288,1,1
35743646380,1,1
35669590702,1,1
26881561392,1,1
50866570906,1,1
8034728517,1,1
49426014398,1,1
48187599411,1,1
44995609125,1,1
8653936083,1,1
50793762561,1,1
30501118495,1,1
5285489399,1,1
16991341521,1,1
15550169311,1,1
15410500719,1,1
15367206380,1,1
49718959728,1,1
33440494880,1,1
50519243066,1,1
48827826046,1,1
41034163292,1,1
50521788448,1,1
49909632127,1,1
49760654362,1,1
50949106833,1,1
46497833474,1,1
22980991966,1,1
50148912541,1,1
50502114642,1,1
50353031271,1,1
48364048981,1,1
40583256603,1,1
25042184474,1,1
9716704371,1,1
48636660372,1,1
50422386178,1,1
50339316501,1,1
51020315262,1,1
48969444482,1,1
46314575821,1,1
27755945701,1,1
48968724023,1,1
50986263158,1,1
50822538141,1,1
14212616392,1,1
51217922975,1,1
49917749113,1,1
51217767655,1,1
35957901095,1,1
35569232250,1,1
48591331207,1,1
50623848996,1,1
46203623585,1,1
30069623862,1,1
29714282388,1,1
48384500712,1,1
45991700294,1,1
43664633194,1,1
50697588463,1,1
9594651375,1,1
26761549267,1,1
40482259211,1,1
48519478517,1,1
50585082532,1,1
50433829828,1,1
50433829163,1,1
49471139551,1,1
48639757717,1,1
48034839843,1,1
33662965808,1,1
47415344642,1,1
47373394961,1,1
44042091682,1,1
50259568448,1,1
50452585691,1,1
49767556716,1,1
49744148168,1,1
49874527488,1,1
49707211441,1,1
48667217011,1,1
34240286444,1,1
35740057383,1,1
35043365276,1,1
49996318983,1,1
49086752987,1,1
48481392671,1,1
25746265538,1,1
35216941486,1,1
40675572135,1,1
35211056020,1,1
22576383994,1,1
13439176005,1,1
8677555327,1,1
9014156246,1,1
8677711228,1,1
8677707632,1,1
8657456300,1,1
8622733200,1,1
8435041308,1,1
8368730265,1,1
7868015814,1,1
7530630672,1,1
7828518224,1,1
6962998516,1,1
6787952552,1,1
5858075236,1,1
6240630173,1,1
6097101769,1,1
6033717823,1,1
50323220011,1,1
49737926743,1,1
49384107848,1,1
48635684906,1,1
32684499227,1,1
40595605943,1,1
45999024435,1,1
47808099392,1,1
40847567581,1,1
37120158504,1,1
38667819912,1,1
46399008684,1,1
29965870047,1,1
46421735674,1,1
49840324008,1,1
51175441603,1,1
51055967011,1,1
50999124383,1,1
50754846336,1,1
50700721672,1,1
49906660008,1,1
49650552702,1,1
49532741481,1,1
49215368932,1,1
48853099782,1,1
48823775668,1,1
46983648094,1,1
47209103182,1,1
43312828390,1,1
29407536148,1,1
51046016826,1,1
50782157356,1,1
50643762218,1,1
50258969288,1,1
50259625916,1,1
49826934578,1,1
49618693487,1,1
49535506468,1,1
49500205351,1,1
49499704478,1,1
49355407777,1,1
49048497997,1,1
48664323207,1,1
50466736687,1,1
51179668501,1,1
51102708376,1,1
28393395909,1,1
28968230071,1,1
26455450492,1,1
49796363841,1,1
49026445346,1,1
48832915436,1,1
45862505704,1,1
30912849978,1,1
51192551540,1,1
51191296782,1,1
49488683177,1,1
49487978233,1,1
49456073898,1,1
49574962316,1,1
49487990458,1,1
49488405291,1,1
49487852358,1,1
49488220171,1,1
49407916946,1,1
49217182651,1,1
49487765318,1,1
48845812376,1,1
48995934936,1,1
48995295863,1,1
48995975692,1,1
48995230273,1,1
15454281753,1,1
33307849798,1,1
46459470644,1,1
39754245303,1,1
45568345721,1,1
44638460985,1,1
44468461471,1,1
43413648504,1,1
43559286695,1,1
43344347694,1,1
41897914872,1,1
27068554547,1,1
50604085071,1,1
49966298496,1,1
47966127257,1,1
50599067543,1,1
49641177562,1,1
49855746278,1,1
49768978956,1,1
49444484891,1,1
49266006063,1,1
49250068912,1,1
49245624721,1,1
49231746096,1,1
48850336787,1,1
48466181307,1,1
48407026396,1,1
48372574456,1,1
48121796782,1,1
48100200153,1,1
48057580041,1,1
50929961953,1,1
50621213668,1,1
46726918914,1,1
46500198804,1,1
48854976528,1,1
48138250961,1,1
7861549218,1,1
51148013583,1,1
49677201102,1,1
49675743626,1,1
8711838105,1,1
30922880937,1,1
26601051996,1,1
21917725526,1,1
49102273918,1,1
48985800721,1,1
48988432246,1,1
48388113012,1,1
48322935136,1,1
48007711893,1,1
46862997485,1,1
46791028235,1,1
46541013815,1,1
46054650865,1,1
39996048013,1,1
31482326757,1,1
46357899342,1,1
45495174815,1,1
44881421744,1,1
45848828341,1,1
45733290021,1,1
44971697514,1,1
44771677335,1,1
44809081684,1,1
31280764678,1,1
31178308688,1,1
30070105487,1,1
44285714424,1,1
43180184070,1,1
44948251851,1,1
42301965130,1,1
44050954541,1,1
42438076545,1,1
42082320875,1,1
42644335551,1,1
28356277188,1,1
45244230264,1,1
49364810046,1,1
48114125023,1,1
49552816021,1,1
49488360146,1,1
49455711708,1,1
48995395993,1,1
48594280637,1,1
48995636086,1,1
46309116815,1,1
40434642195,1,1
26682115147,1,1
50955429138,1,1
40681785122,1,1
16966060686,1,1
25332181246,1,1
50720400046,1,1
48678940882,1,1
39908219994,1,1
24251835406,1,1
23081128540,1,1
49421670722,1,1
50711879243,1,1
50849453531,1,1
32588311847,1,1
27073779859,1,1
30207520601,1,1
35714218221,1,1
18146401246,1,1
49752402387,1,1
24690598467,1,1
14121230978,1,1
49196260901,1,1
48714458767,1,1
48531223886,1,1
39198909490,1,1
49360055428,1,1
46769074545,1,1
50281036778,1,1
27853291309,1,1
33472529126,1,1
31513277735,1,1
51142387781,1,1
51143346427,1,1
51136662072,1,1
51134435592,1,1
51135127863,1,1
50706646196,1,1
42173814231,1,1
35857954286,1,1
49251892138,1,1
50086794767,1,1
49999204263,1,1
50021649293,1,1
49825491836,1,1
49754901977,1,1
30066397312,1,1
15405970549,1,1
10802197565,1,1
51153084320,1,1
51142870132,1,1
51137327248,1,1
51135298289,1,1
48723320438,1,1
44188073420,1,1
45229380644,1,1
45851243962,1,1
44046613462,1,1
39216302775,1,1
24842094122,1,1
15336956486,1,1
12506143363,1,1
17172279027,1,1
13992196041,1,1
50188882227,1,1
41965604372,1,1
28720426094,1,1
39198749011,1,1
14458211298,1,1
37325440652,1,1
19480801115,1,1
51158902233,1,1
51034604831,1,1
50711753378,1,1
50712466291,1,1
50573835088,1,1
50527053271,1,1
50527173377,1,1
50499670916,1,1
50440377747,1,1
50366054467,1,1
50365155933,1,1
50340173731,1,1
50081480496,1,1
50021136951,1,1
50073444736,1,1
51034692667,1,1
50918637531,1,1
50314551517,1,1
49393828898,1,1
50959115937,1,1
50381500397,1,1
49611125318,1,1
49107153046,1,1
51037391313,1,1
48064409436,1,1
50015710117,1,1
50725971143,1,1
49276942306,1,1
49036107866,1,1
31703834398,1,1
49974936107,1,1
48764028103,1,1
51115040221,1,1
33886224548,1,1
50441790693,1,1
49234661658,1,1
50368211217,1,1
48773726918,1,1
47643496441,1,1
50899827086,1,1
51093160729,1,1
33671446048,1,1
51162087368,1,1
51029596231,1,1
50499079883,1,1
49108534948,1,1
49327838063,1,1
50373415863,1,1
50795223497,1,1
49993170192,1,1
51202420490,1,1
48856652573,1,1
48831713318,1,1
46863968324,1,1
49041299063,1,1
49465355863,1,1
49920959491,1,1
50332424402,1,1
51186584884,1,1
47952976113,1,1
50816373566,1,1
50967964137,1,1
50583669162,1,1
50686853457,1,1
49761341541,1,1
48963448016,1,1
51125402135,1,1
50894741186,1,1
50753140131,1,1
49834471323,1,1
49773727333,1,1
51160968264,1,1
51062365376,1,1
50632587372,1,1
50251934296,1,1
51069962653,1,1
49805699752,1,1
50914089113,1,1
50885768563,1,1
51066552883,1,1
50349712081,1,1
50026822856,1,1
49949723923,1,1
49890312687,1,1
49588455688,1,1
48704658042,1,1
48521100801,1,1
50979030297,1,1
50895905328,1,1
50522539072,1,1
